City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kristiansund,63.1115,7.732,52.45,87,75,2.3,NO,1691614539
83,whitehorse,60.7161,-135.0538,67.1,45,75,8.01,CA,1691614615
84,invercargill,-46.4,168.35,32.02,95,85,1.01,NZ,1691614615
85,carnarvon,-24.8667,113.6333,66.92,75,28,10.13,AU,1691614615
86,hithadhoo,-0.6,73.0833,80.71,76,63,4.0,MV,1691614523
87,lihue,21.9789,-159.3672,88.84,66,75,19.57,US,1691614616
88,taltal,-25.4,-70.4833,66.33,64,63,6.35,CL,1691614616
89,praia,14.9215,-23.5087,81.14,69,20,16.11,CV,1691614616
90,kismayo,-0.3582,42.5454,75.54,83,35,14.12,SO,1691614521
91,paita,-5.0892,-81.1144,74.12,75,91,16.4,PE,1691614617
92,nantucket,41.2835,-70.0995,84.25,63,0,17.27,US,1691614617
93,pico truncado,-46.7949,-67.9573,56.1,55,100,19.64,AR,1691614617
94,suva,-18.1416,178.4415,69.28,88,75,6.91,FJ,1691614617
95,hadibu,12.65,54.0333,77.86,81,69,16.67,YE,1691614617
96,caleta olivia,-46.4393,-67.5281,59.38,52,100,20.22,AR,1691614617
97,arkhangel'sk,64.5401,40.5433,61.14,83,4,4.83,RU,1691614618
98,campbellsville,37.3434,-85.3419,80.73,62,100,3.0,US,1691614618
99,ust-nera,64.5667,143.2,60.96,60,12,3.47,RU,1691614618
100,morehead city,34.7229,-76.726,91.42,69,0,14.97,US,1691614413
101,kailua-kona,19.6406,-155.9956,86.27,68,20,11.5,US,1691614362
102,iskateley,67.6803,53.1512,54.1,83,38,5.68,RU,1691614499
103,udachny,66.4167,112.4,55.45,54,98,5.95,RU,1691614618
104,punta arenas,-53.15,-70.9167,39.11,93,100,7.85,CL,1691614449
105,susuman,62.7833,148.1667,46.36,83,90,1.9,RU,1691614619
106,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,77,0,4.47,RU,1691614620
107,plattsburgh,44.6995,-73.4529,82.62,42,40,12.66,US,1691614620
108,bengkulu,-3.8004,102.2655,73.4,92,46,5.64,ID,1691614620
109,janauba,-15.8025,-43.3089,78.31,39,0,11.97,BR,1691614473
110,sandakan,5.8402,118.1179,80.28,88,20,2.3,MY,1691614621
111,ancud,-41.8697,-73.8203,51.67,91,100,22.62,CL,1691614621
112,alaghsas,17.0187,8.0168,79.0,63,38,25.64,NE,1691614621
113,turochak,52.2576,87.1224,57.52,90,71,3.38,RU,1691614621
114,sitka,57.0531,-135.33,58.89,88,100,5.75,US,1691614622
115,lospalos,-8.5186,127.0025,67.75,94,53,4.14,TL,1691614604
116,lodeynoye pole,60.726,33.5531,59.56,99,100,3.02,RU,1691614622
117,kavieng,-2.5744,150.7967,80.87,79,95,14.67,PG,1691614622
118,kapuskasing,49.4169,-82.4331,75.29,53,40,8.05,CA,1691614623
119,lompoc,34.6391,-120.4579,88.02,74,75,7.0,US,1691614623
120,namibe,-15.1961,12.1522,63.84,88,64,6.96,AO,1691614346
121,kavaratti,10.5669,72.642,82.58,76,100,15.66,IN,1691614624
122,puerto ayora,-0.7393,-90.3518,85.96,87,99,7.0,EC,1691614493
123,tainan,22.9908,120.2133,80.38,100,75,6.91,TW,1691614424
124,levuka,50.1834,-105.4011,56.93,82,100,13.8,CA,1691614624
125,wenling,28.3669,121.36,78.91,88,56,3.98,CN,1691614625
126,raja,8.4596,25.678,69.44,95,86,3.98,SS,1691614626
127,guigang,23.0964,109.6092,78.24,93,93,2.24,CN,1691614627
128,watsa,3.0372,29.5355,63.54,96,31,1.83,CD,1691614627
129,polyarnyy,69.1989,33.4478,66.34,73,0,6.38,RU,1691614627
130,ataq,14.5377,46.8319,79.0,52,100,6.89,YE,1691614627
131,boundiali,9.5217,-6.4869,73.06,93,100,4.41,CI,1691614628
132,labrador city,52.9463,-66.9114,55.31,94,100,8.05,CA,1691614334
133,angaur state,6.906,134.13,82.6,80,98,19.55,PW,1691614629
134,machali,-34.1833,-70.6667,57.72,71,100,2.28,CL,1691614629
135,saint-joseph,-21.3667,55.6167,66.58,77,19,7.56,RE,1691614629
136,larache,35.1932,-6.1557,73.83,85,6,13.02,MA,1691614629
137,lepsy,46.235,78.9456,75.43,41,0,9.6,KZ,1691614630
138,college,64.8569,-147.8028,72.21,82,75,3.44,US,1691614630
139,nova sintra,14.8667,-24.7167,73.44,73,51,16.62,CV,1691614630
140,vorgashor,67.5833,63.95,46.09,88,28,6.73,RU,1691614630
141,hasaki,35.7333,140.8333,80.31,78,55,11.88,JP,1691614630
142,yanchep,-31.55,115.6833,51.94,66,81,6.2,AU,1691614631
143,daru,-9.0763,143.2092,74.7,82,80,14.45,PG,1691614631
144,saipan,15.1355,145.701,83.1,100,100,8.05,MP,1691614631
145,mayna,54.1135,47.6231,66.18,55,0,6.08,RU,1691614631
146,timimoun,29.2639,0.231,102.58,11,0,9.22,DZ,1691614631
147,tolanaro,-25.0319,46.9987,68.07,88,20,16.11,MG,1691614632
148,bondo,3.8146,23.6866,69.8,98,100,3.33,CD,1691614632
149,patterson,37.4716,-121.1297,91.02,14,0,4.07,US,1691614633
150,massawa,15.6097,39.45,95.67,48,72,6.53,ER,1691614633
151,utrik,11.2278,169.8474,82.42,73,90,11.9,MH,1691614633
152,saint-loubes,44.9154,-0.427,80.89,35,6,8.34,FR,1691614633
153,buta,2.7858,24.73,71.78,90,74,1.79,CD,1691614536
154,nar'yan-mar,67.6713,53.087,54.5,83,43,5.59,RU,1691614634
155,usinsk,65.9939,57.5281,53.37,76,76,7.45,RU,1691614634
156,kalkaman,51.9525,76.0211,74.44,36,96,3.15,KZ,1691614634
157,coahuayana de hidalgo,18.7,-103.6583,90.97,64,19,9.08,MX,1691614613
158,tsiombe,-25.3,45.4833,66.51,88,5,6.78,MG,1691614635
159,inarajan village,13.2736,144.7484,79.77,95,100,17.16,GU,1691614635
160,maceio,-9.6658,-35.7353,76.44,83,40,5.75,BR,1691614635
161,bardai,11.65,7.2333,73.06,88,100,6.73,NG,1691614362
162,lombardia,19.15,-102.0333,91.29,51,23,4.14,MX,1691614636
163,argo,37.6333,22.7333,76.78,71,31,2.28,GR,1691614636
164,kerikeri,-35.2268,173.9474,51.17,76,1,5.08,NZ,1691614636
165,ugoofaaru,5.6667,73.0,82.09,79,100,14.7,MV,1691614527
166,lichinga,-13.3128,35.2406,55.24,55,0,7.25,MZ,1691614637
167,salyan,39.5936,48.9805,81.1,64,0,6.6,AZ,1691614637
168,nouadhibou,20.931,-17.0347,73.38,83,20,21.85,MR,1691614606
169,birjand,32.8663,59.2211,77.47,20,0,11.5,IR,1691614638
170,kill devil hills,36.0307,-75.676,86.0,70,0,6.91,US,1691614606
171,enewetak,11.3474,162.3373,83.32,77,84,14.47,MH,1691614523
172,okha,53.5739,142.9478,56.57,90,92,6.78,RU,1691614638
173,husainabad,24.5333,84.0167,78.1,86,100,4.81,IN,1691614639
174,asino,56.9979,86.1452,53.2,90,6,6.04,RU,1691614639
175,pushkinskiye gory,57.0209,28.9103,53.67,73,8,4.65,RU,1691614639
176,wailua homesteads,22.0669,-159.378,88.23,74,75,19.57,US,1691614639
177,bintulu,3.1667,113.0333,77.41,88,20,5.99,MY,1691614639
178,isafjordur,66.0755,-23.124,48.43,63,86,8.23,IS,1691614639
179,urangan,-25.3,152.9,61.7,69,63,6.2,AU,1691614500
180,onega,63.9061,38.1404,61.05,77,1,6.69,RU,1691614640
181,fisterra,42.9049,-9.2629,70.75,78,100,13.11,ES,1691614640
182,eidson road,28.6772,-100.487,107.17,23,2,12.35,US,1691614640
183,mar del plata,-38.0023,-57.5575,56.08,90,75,12.66,AR,1691614640
184,gorom-gorom,14.4439,-0.2361,84.38,58,80,6.82,BF,1691614641
185,murzuq,25.9155,13.9184,83.43,18,0,10.25,LY,1691614641
186,port alfred,-33.5906,26.891,61.18,88,39,5.99,ZA,1691614641
187,badger,64.8,-147.5333,72.14,82,100,3.44,US,1691614498
188,idaho falls,43.4666,-112.0341,81.86,32,0,12.66,US,1691614638
189,effingham,32.3669,-81.3332,91.35,42,41,8.88,US,1691614642
190,sodankyla,67.4167,26.6,59.94,92,11,2.1,FI,1691614642
191,greymouth,-42.4667,171.2,39.88,78,46,8.9,NZ,1691614642
192,margate,51.3813,1.3862,62.69,79,0,4.0,GB,1691614642
193,flying fish cove,-10.4217,105.6791,74.88,88,100,12.66,CX,1691614643
194,yemetsk,63.4721,41.7941,61.84,89,7,4.61,RU,1691614643
195,valparaiso,-33.0393,-71.6273,59.0,91,100,12.66,CL,1691614516
196,portland,45.5234,-122.6762,84.61,51,75,5.75,US,1691614519
197,turkmenbasy,40.0222,52.9552,81.37,39,0,6.91,TM,1691614644
198,vilyuchinsk,52.9306,158.4028,57.47,75,100,5.14,RU,1691614644
199,papao,-17.75,-149.55,82.08,72,100,16.04,PF,1691614644
